map,scen,agents,seed,variant,solved,soc,makespan,lb,time_ms,forward_calls,rebuilds
random32-20,random-32-32-20-random-2,200,0,pen0.1_step_w10,True,7145,101,4466,1919.5,20800,104
random32-20,random-32-32-20-random-2,200,1,tb_step_wall,True,7381,108,4466,1678.6,22800,114
random32-20,random-32-32-20-random-2,200,0,tb_start_w10,True,23629,438,4466,2455.9,200,1
random32-20,random-32-32-20-random-3,50,0,vanilla,True,1177,47,1007,41.7,0,0
random32-20,random-32-32-20-random-2,200,1,pen0.1_step_w10,True,6863,79,4466,1113.0,16600,83
random32-20,random-32-32-20-random-2,200,0,tb_step_wall,True,7038,98,4466,2560.7,23600,118
random32-20,random-32-32-20-random-3,50,0,tb_step_w10,True,1110,43,1007,301.9,2150,43
random32-20,random-32-32-20-random-3,50,0,tb_start_w10,True,1144,50,1007,113.3,50,1
random32-20,random-32-32-20-random-3,50,0,tb_agent_w10,True,1110,43,1007,313.0,4300,43
random32-20,random-32-32-20-random-3,50,1,vanilla,True,1145,46,1007,21.2,0,0
random32-20,random-32-32-20-random-2,200,2,tb_start_w10,True,16123,305,4466,1090.1,200,1
random32-20,random-32-32-20-random-3,50,1,tb_step_w10,True,1122,46,1007,191.0,2300,46
random32-20,random-32-32-20-random-3,50,0,pen0.1_step_w10,True,1108,42,1007,314.6,2100,42
random32-20,random-32-32-20-random-3,50,1,tb_start_w10,True,1149,48,1007,68.3,50,1
random32-20,random-32-32-20-random-3,50,0,tb_step_wall,True,1107,43,1007,426.0,2150,43
random32-20,random-32-32-20-random-3,50,2,vanilla,True,1144,43,1007,40.8,0,0
random32-20,random-32-32-20-random-3,50,1,tb_agent_w10,True,1136,46,1007,314.5,4600,46
random32-20,random-32-32-20-random-3,50,1,pen0.1_step_w10,True,1122,46,1007,195.8,2300,46
random32-20,random-32-32-20-random-3,50,2,tb_start_w10,True,1149,48,1007,69.8,50,1
random32-20,random-32-32-20-random-2,200,2,pen0.1_step_w10,True,7123,100,4466,1151.4,20600,103
random32-20,random-32-32-20-random-3,50,1,tb_step_wall,True,1085,43,1007,420.6,2150,43
random32-20,random-32-32-20-random-3,50,2,tb_step_w10,True,1114,43,1007,305.6,2150,43
random32-20,random-32-32-20-random-3,50,2,tb_agent_w10,True,1117,43,1007,307.8,4300,43
random32-20,random-32-32-20-random-3,50,2,pen0.1_step_w10,True,1114,43,1007,191.5,2150,43
random32-20,random-32-32-20-random-3,100,0,vanilla,True,2673,46,2083,78.5,0,0
random32-20,random-32-32-20-random-3,50,2,tb_step_wall,True,1101,42,1007,263.5,2100,42
random32-20,random-32-32-20-random-2,200,1,tb_agent_w10,True,7207,118,4466,3291.2,52845,125
random32-20,random-32-32-20-random-2,200,2,tb_step_w10,True,8509,168,4466,2273.2,38600,193
random32-20,random-32-32-20-random-2,200,2,tb_agent_w10,True,7750,142,4466,2189.3,62859,150
random32-20,random-32-32-20-random-3,100,0,tb_start_w10,True,2797,66,2083,192.9,100,1
random32-20,random-32-32-20-random-3,100,1,vanilla,True,2860,67,2083,100.4,0,0
random32-20,random-32-32-20-random-3,100,1,tb_start_w10,True,2995,82,2083,191.1,100,1
random32-20,random-32-32-20-random-3,100,0,pen0.1_step_w10,True,2516,47,2083,426.1,4700,47
random32-20,random-32-32-20-random-3,100,2,vanilla,True,2892,61,2083,50.2,0,0
random32-20,random-32-32-20-random-3,100,0,tb_step_w10,True,2493,45,2083,661.6,4500,45
random32-20,random-32-32-20-random-3,100,0,tb_agent_w10,True,2672,63,2083,737.4,13201,64
random32-20,random-32-32-20-random-2,200,2,tb_step_wall,True,6526,70,4466,2375.9,14600,73
random32-20,random-32-32-20-random-3,100,1,pen0.1_step_w10,True,2538,54,2083,427.0,5500,55
random32-20,random-32-32-20-random-3,100,1,tb_step_w10,True,2580,59,2083,694.7,6000,60
random32-20,random-32-32-20-random-3,100,1,tb_agent_w10,True,2537,47,2083,707.0,9412,47
random32-20,random-32-32-20-random-3,100,2,tb_start_w10,True,3343,108,2083,193.2,100,1
random32-20,random-32-32-20-random-3,100,2,tb_step_w10,True,2504,51,2083,415.7,5100,51
random32-20,random-32-32-20-random-3,100,0,tb_step_wall,True,2532,46,2083,951.1,4600,46
random32-20,random-32-32-20-random-3,150,0,vanilla,True,5063,83,3203,259.1,0,0
random32-20,random-32-32-20-random-3,100,1,tb_step_wall,True,2731,62,2083,1023.3,6400,64
random32-20,random-32-32-20-random-3,100,2,pen0.1_step_w10,True,2568,57,2083,436.1,5700,57
